		名詞	
VRごーぐる	VR Goggles	名詞	ゲーム用語
あーかいぶ	archive	名詞	Unity/C#
あーかいぶ	Archive	名詞	一般IT
あーきてくちゃ	Architecture	名詞	一般IT
あーきぺらご	Archipelago	名詞	地形・環境
あーく	Arc	名詞	機械・軍事
あーくえんじぇる	Archangel	名詞	ゲーム用語
あーくたんじぇんと	Atan2	名詞	Unity/C#
あーけーど	Arcade	名詞	建築・構造
あーけーどすてぃっく	Arcade Stick	名詞	ゲーム用語
あーす	Earth	名詞	天体・宇宙
あーすからー	EarthColor	名詞	色・素材
あーせなる	Arsenal	名詞	建築・構造
あーち	Arch	名詞	建築・構造
あーちゃー	Archer	名詞	ゲーム用語
あーてぃくる	Article	名詞	一般ビジネス
あーてぃすと	artist	名詞	Unity/C#
あーてぃすと	Artist	名詞	一般ビジネス
あーてぃふぁくと	Artifact	名詞	ゲーム用語
あーてりー	Artery	名詞	身体・解剖
あーと	Art	名詞	グラフィック・デザイン
あーとぼーど	Artboard	名詞	編集用語
あーぷ	ARPU	名詞	ゲーム制作・経営
あーぷぱう	ARPPU	名詞	ゲーム制作・経営
あーまー	armor	名詞	Unity/C#
あーまー	Armor	名詞	ゲーム用語
あーりーあくせす	Early Access	名詞	ゲーム用語
あーるあんどびー	R&B	名詞	楽器・音楽
あーるおーあい	ROI	名詞	略語
あーるじーびー	RGB	名詞	グラフィック・デザイン
あーるてぃーえー	RTA	名詞	ゲーム用語
あーるてぃーえっくす	RTX	名詞	制作・運用
あーるでぃーえぬえー	RDNA	名詞	制作・運用
あーるぴーえー	RPA	名詞	略語
あーるぴーじー	RPG	名詞	ゲーム用語
あーれす	Ares	名詞	ゲーム用語
あいあーす	IaaS	名詞	略語
あいあーる	IR	名詞	機械・軍事
あいあん	Iron	名詞	色・素材
あいえーえーしー	IaC	名詞	ウェブ・IT用語
あいえすあーる	ISR	名詞	ウェブ・IT用語
あいえすおー	ISO	名詞	映像用語
あいおーえす	iOS	名詞	Unity/C#
あいおーてぃー	IoT	名詞	略語
あいけー	Inverse Kinematics	名詞	リギング
あいこん	Icon	名詞	グラフィック・デザイン
あいしー	IC	名詞	略語
あいしーてぃー	ICT	名詞	略語
あいそめとりっく	Isometric	名詞	グラフィック・デザイン
あいたむ	item	名詞	Unity/C#
あいたらっきんぐ	Eye Tracking	名詞	UI/UX
あいてむ	Item	名詞	ゲーム用語
あいにーぼー	Eye Level	名詞	グラフィック・デザイン
あいぴー	IP	名詞	略語
あいぴーあどれす	IPAddress	名詞	ウェブ・IT用語
あいぴーおー	IPO	名詞	略語
あいぼりー	Ivory	名詞	色・素材
あいらんど	Island	名詞	地形・環境
あいりす	Iris	名詞	植物・生物
あゔぁらんち	Avalanche	名詞	気象・自然
あうぇいく	Awake	名詞	Unity/C#
あうぇいと	await	名詞	Unity/C#
あうぇいと	Await	名詞	ウェブ・IT用語
あうたーぐろー	Outer Glow	名詞	編集用語
あうと	out	名詞	Unity/C#
あうとおぶめもり	OOM	名詞	ウェブ・IT用語
あうとそーしんぐ	Outsourcing	名詞	ゲーム制作・経営
あうとらいん	Outline	名詞	一般ビジネス
あうとろ	Outro	名詞	映像用語
あおい	Blue	名詞	色・素材
あか	Red	名詞	色・素材
あかうんと	Account	名詞	一般IT
あかでみー	Academy	名詞	建築・構造
あきれす	Achilles	名詞	ゲーム用語
あくえりあす	Aquarius	名詞	天体・宇宙
あくしょん	Action	名詞	一般ビジネス
あくせさびりてぃ	Accessibility	名詞	ウェブ・IT用語
あくせさりー	Accessory	名詞	ファッション
あくせす	Access	名詞	一般IT
あくせらろめーた	Accelerometer	名詞	Unity/C#
あくせる	Accelerator	名詞	機械・軍事
あくせんとからー	Accent Color	名詞	グラフィック・デザイン
あくたー	Actor	名詞	一般ビジネス
あくちぶ	Active	名詞	一般IT
あくてぃぶ	active	名詞	Unity/C#
あくてぃぶ	Active	名詞	ゲーム用語
あこーでぃおん	Accordion	名詞	楽器・音楽
あさーと	assert	名詞	Unity/C#
あさいん	Assign	名詞	一般ビジネス
あさしん	Assassin	名詞	ゲーム用語
あざぜる	Azazel	名詞	ゲーム用語
あじぇんだ	Agenda	名詞	一般ビジネス
あじゃいる	Agile	名詞	IT・ビジネス
あじゃすとめんとれいやー	Adjustment Layer	名詞	編集用語
あじゅーる	Azure	名詞	色・素材
あじりてぃ	Agility	名詞	ゲーム用語
あしんく	async	名詞	Unity/C#
あしんく	Async	名詞	ウェブ・IT用語
あしんっく	async	名詞	Unity/C#
あず	as	名詞	Unity/C#
あすきー	ASCII	名詞	ウェブ・IT用語
あすたりすく	Asterisk	名詞	記号
あすてろいど	Asteroid	名詞	天体・宇宙
あすとらる	Astral	名詞	概念・抽象
あすぴる	Osmose	名詞	ゲーム用語
あすふぁると	Asphalt	名詞	色・素材
あすぺくとひ	AspectRatio	名詞	ウェブ・IT用語
あすぺくとひ	Aspect Ratio	名詞	映像用語
あすもでうす	Asmodeus	名詞	ゲーム用語
あせーしょん	Assertion	名詞	Unity/C#
あせーと	Assert	名詞	制作・運用
あせっと	Asset	名詞	一般ビジネス
あせっとすとあ	Asset Store	名詞	ゲーム制作・経営
あせっとでーたべーす	AssetDatabase	名詞	Unity/C#
あせっとばんどる	AssetBundle	名詞	Unity/C#
あせんだー	Ascender	名詞	タイポグラフィ
あそなじ	Aliasing	名詞	編集用語
あだぷた	Adapter	名詞	一般IT
あだぷてぃぶでざいん	Adaptive Design	名詞	UI/UX
あだぷてぃぶとりがー	Adaptive Trigger	名詞	制作・運用
あだまんたいと	Adamantite	名詞	色・素材
あだまんと	Adamant	名詞	色・素材
あちーぶめんと	achievement	名詞	Unity/C#
あちーぶめんと	Achievement	名詞	ゲーム用語
あっくす	Axe	名詞	ゲーム用語
あっぱーけーす	Uppercase	名詞	タイポグラフィ
あっぷ	up	名詞	Unity/C#
あっぷ	Close Up	名詞	映像用語
あっぷぐれーど	Upgrade	名詞	一般IT
あっぷでーと	Update	名詞	一般IT
あっぷろーど	upload	名詞	Unity/C#
あっぷろーど	Upload	名詞	一般IT
あてぃっく	Attic	名詞	建築・構造
あてな	Athena	名詞	ゲーム用語
あてにゅえーしょん	Attenuation	名詞	サウンド
あてれーしょん	Iteration	名詞	制作・運用
あどおん	Add-on	名詞	ゲーム用語
あどばいす	Advice	名詞	一般ビジネス
あどび	Adobe	名詞	ウェブ・IT用語
あどべんちゃー	Adventure	名詞	ゲーム用語
あどぼけーと	Advocate	名詞	IT・ビジネス
あどまねたいず	Ad Monetization	名詞	ゲーム制作・経営
あとみっくでざいん	Atomic Design	名詞	UI/UX
あどみん	Admin	名詞	建築・構造
あとりびゅーと	Attribute	名詞	Unity/C#
あとりびゅーと	attribute	名詞	Unity/C#
あどれす	Address	名詞	一般IT
あどれっさぶる	Addressables	名詞	Unity/C#
あどれなりん	Adrenaline	名詞	身体・解剖
あなもるふぃっく	Anamorphic	名詞	映像用語
あならいしす	Analysis	名詞	概念・抽象
あならぐ	Analog	名詞	ゲーム用語
あなりてぃくす	Analytics	名詞	ウェブ・IT用語
あなれす	Analysis	名詞	一般ビジネス
あなろがす	Analogous	名詞	グラフィック・デザイン
あにそとろぴー	Anisotropy	名詞	グラフィック・デザイン
あにまる	Animal	名詞	植物・生物
あにめーしょん	Animation	名詞	一般IT
あにめーしょんかーぶ	AnimationCurve	名詞	Unity/C#
あにめーしょんかーぶ	Animation Curve	名詞	リギング
あにめーしょんぶれんど	Animation Blend	名詞	リギング
あにめーしょんれいやー	Animation Layer	名詞	リギング
あにめーたー	Animator	名詞	Unity/C#
あにめーたー	animator	名詞	Unity/C#
あにめりっくす	Animatics	名詞	映像用語
あにもにー	Anemone	名詞	植物・生物
あねもね	Anemone	名詞	植物・生物
あぱーちゃー	Aperture	名詞	映像用語
あぱーとめんと	Apartment	名詞	建築・構造
あぱしー	Apathy	名詞	概念・抽象
あばたー	Avatar	名詞	ゲーム用語
あばれーしょん	Aberration	名詞	映像用語
あぴ	api	名詞	Unity/C#
あぴ	API	名詞	略語
あびす	Abyss	名詞	抽象・方向
あびりてぃ	Ability	名詞	ビジネス
あびれーしょん	abbreviation	名詞	ビジネス
あふぃりえいと	Affiliate	名詞	IT・ビジネス
あふぇくしょん	Affection	名詞	概念・抽象
あふぉーだんす	Affordance	名詞	UI/UX
あぶす	Abs	名詞	Unity/C#
あぶすとらくと	abstract	名詞	Unity/C#
あぶすとらくと	Abstract	名詞	ウェブ・IT用語
あぷせっく	AppSec	名詞	ウェブ・IT用語
あふたーえふぇくと	After Effects	名詞	ツール・ブランド
あふたぬーん	Afternoon	名詞	時間・季節
あぷで	update	名詞	Unity/C#
あぷで	Update	名詞	ゲーム用語
あぷらいと	Appwrite	名詞	ウェブ・IT用語
あぷり	app	名詞	Unity/C#
あぷりけーしょん	Application	名詞	一般IT
あぷるーばる	Approval	名詞	映像用語
あぷろーち	Approach	名詞	一般ビジネス
あべいらびりてぃ	Availability	名詞	ウェブ・IT用語
あべにゅー	Avenue	名詞	建築・構造
